run	cap	frequency	period
1.000000000000000e+000	9.002500e-006	1.115640e+000	8.963490e-001
2.000000000000000e+000	9.700580e-006	1.035520e+000	9.657000e-001
3.000000000000000e+000	1.042100e-005	9.614310e-001	1.040120e+000
4.000000000000000e+000	9.294630e-006	1.081540e+000	9.246090e-001
5.000000000000000e+000	9.017820e-006	1.108120e+000	9.024270e-001
6.000000000000000e+000	9.332470e-006	1.077370e+000	9.281830e-001
7.000000000000000e+000	1.056660e-005	9.339090e-001	1.070770e+000
8.000000000000000e+000	1.091180e-005	9.087310e-001	1.100440e+000
9.000000000000000e+000	1.072450e-005	9.276800e-001	1.077960e+000
1.000000000000000e+001	1.022300e-005	9.707190e-001	1.030160e+000
1.100000000000000e+001	9.751730e-006	1.030090e+000	9.707910e-001
1.200000000000000e+001	9.551770e-006	1.044650e+000	9.572620e-001
1.300000000000000e+001	9.969880e-006	1.003340e+000	9.966740e-001
1.400000000000000e+001	1.048890e-005	9.489600e-001	1.053780e+000
1.500000000000000e+001	1.014480e-005	9.862930e-001	1.013900e+000
1.600000000000000e+001	1.003420e-005	9.950130e-001	1.005010e+000
1.700000000000000e+001	9.983790e-006	1.010150e+000	9.899540e-001
1.800000000000000e+001	9.283150e-006	1.070420e+000	9.342090e-001
1.900000000000000e+001	1.093320e-005	9.147080e-001	1.093240e+000
2.000000000000000e+001	9.382700e-006	1.072360e+000	9.325260e-001
2.100000000000000e+001	1.046400e-005	9.550340e-001	1.047080e+000
2.200000000000000e+001	1.044380e-005	9.517520e-001	1.050690e+000
2.300000000000000e+001	1.003400e-005	9.808500e-001	1.019520e+000
2.400000000000000e+001	1.009910e-005	9.824550e-001	1.017860e+000
2.500000000000000e+001	9.912200e-006	9.986710e-001	1.001330e+000
2.600000000000000e+001	9.391980e-006	1.057900e+000	9.452710e-001
2.700000000000000e+001	9.054930e-006	1.091220e+000	9.164040e-001
2.800000000000000e+001	1.068610e-005	9.228950e-001	1.083550e+000
2.900000000000000e+001	9.219860e-006	1.095580e+000	9.127620e-001
3.000000000000000e+001	9.280530e-006	1.074170e+000	9.309490e-001
3.100000000000000e+001	9.505450e-006	1.045020e+000	9.569230e-001
3.200000000000000e+001	9.421160e-006	1.064110e+000	9.397500e-001
3.300000000000000e+001	1.050440e-005	9.451180e-001	1.058070e+000
3.400000000000000e+001	1.039240e-005	9.584560e-001	1.043340e+000
3.500000000000000e+001	1.025740e-005	9.798750e-001	1.020540e+000
3.600000000000000e+001	9.379890e-006	1.078420e+000	9.272830e-001
3.700000000000000e+001	9.195010e-006	1.079090e+000	9.267040e-001
3.800000000000000e+001	1.078920e-005	9.352570e-001	1.069230e+000
3.900000000000000e+001	1.025610e-005	9.718030e-001	1.029020e+000
4.000000000000000e+001	1.070960e-005	9.320700e-001	1.072880e+000
4.100000000000000e+001	9.368540e-006	1.076620e+000	9.288350e-001
4.200000000000000e+001	1.020940e-005	9.765300e-001	1.024030e+000
4.300000000000000e+001	1.048150e-005	9.489560e-001	1.053790e+000
4.400000000000000e+001	1.015210e-005	9.761490e-001	1.024430e+000
4.500000000000000e+001	1.033560e-005	9.698510e-001	1.031090e+000
4.600000000000000e+001	9.217110e-006	1.090120e+000	9.173260e-001
4.700000000000000e+001	9.158700e-006	1.102760e+000	9.068190e-001
4.800000000000000e+001	9.817960e-006	1.027070e+000	9.736390e-001
4.900000000000000e+001	1.047600e-005	9.533090e-001	1.048980e+000
5.000000000000000e+001	9.600120e-006	1.028140e+000	9.726330e-001
5.100000000000000e+001	1.021930e-005	9.804760e-001	1.019910e+000
